BEGINN_DATUM;BEGINN_UHRZEIT;ENDE_DATUM;ENDE_UHRZEIT;NETZREGION;GRUND_DER_MASSNAHME;RICHTUNG;MITTLERE_LEISTUNG_MW;MAXIMALE_LEISTUNG_MW;GESAMTE_ARBEIT_MWH;ANWEISENDER_UENB;ANFORDERNDER_UENB;BETROFFENE_ANLAGE
08.01.2015;16:00;08.01.2015;17:00;Grenzregion RZ 50Hertz - RZ PSE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;300;300;300;50Hertz;50Hertz & PSE;Boxberg, Rostock
08.01.2015;17:00;08.01.2015;20:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;242;375;725;TenneT DE;TenneT DE;Gebersdorf 1
08.01.2015;17:00;08.01.2015;18:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;150;150;150;TenneT DE;TenneT DE;Statkraft KW-Pool
08.01.2015;17:00;08.01.2015;19:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;95;150;190;TenneT DE;TenneT DE;Statkraft KW-Pool
08.01.2015;17:00;08.01.2015;21:00;Grenzregion RZ 50Hertz - RZ PSE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;200;200;800;50Hertz;50Hertz & PSE;Rostock
08.01.2015;20:00;09.01.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;125;200;500;TenneT DE;50Hertz & TenneT DE;Gebersdorf 1
08.01.2015;21:00;09.01.2015;00:00;Grenzregion RZ 50Hertz - RZ PSE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;200;200;600;50Hertz;50Hertz & PSE;Jaenschwalde
09.01.2015;00:00;09.01.2015;12:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;106;200;1270;TenneT DE;50Hertz & TenneT DE;Gebersdorf 1
09.01.2015;00:00;09.01.2015;06:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;592;900;3550;50Hertz;50Hertz & TenneT DE;Jaenschwalde, Schkopau
09.01.2015;00:00;09.01.2015;07:00;Grenzregion RZ 50Hertz - RZ PSE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;211;300;1475;50Hertz;50Hertz & PSE;Schwarze Pumpe
09.01.2015;00:00;10.01.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;225;470;5390;TransnetBW;TenneT DE;Heizkraftwerk Heilbronn
09.01.2015;00:00;10.01.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;114;250;2740;TransnetBW;TenneT DE;Heizkraftwerk Altbach/Deizisau 
